title,label,link,image_title,image_width,image_height,image_urls
byKATO D1,byKATO D1,/products/bykato-d1/,byKATO D1_2.jpg,322,334,http://bykato.com/media/24726/D1_1_4172_overview_3.jpg
Tubular,Tubular Sofa,/products/tubular/,Tubular01,652,334,http://bykato.com/media/20062/Tubular01_overview_2.jpg
The Andersen Chair,The Andersen Chair,/products/the-andersen-chair/,Tac02,990,490,http://bykato.com/media/12250/Tac02_overview_1.jpg
Cirkel,Cirkel,/products/cirkel/,Cirkel,322,334,http://bykato.com/media/22913/cirkel_large_print_2_overview_3.jpg
Coffee Table,Coffee Table,/products/coffee-table/,Coffeetable01,322,334,http://bykato.com/media/1543/Coffeetable01_overview_3.jpg
T1 Dining Table,T1 Diningtable,/products/t1-dining-table/,Diningtable02,652,334,http://bykato.com/media/1627/Diningtable02_overview_2.jpg
Main,Main,/products/main/,Main Tac,652,334,http://bykato.com/media/23393/main_tac_overview_2.jpg
Walther Sofa,Walther Sofa,/products/walther-sofa/,Walthersofa 1,652,334,http://bykato.com/media/26631/WaltherSofa_1_overview_2.jpg
byKATO S3,byKATO S3,/products/bykato-s3/,S3_1,322,334,http://bykato.com/media/22663/bykatos3_overview_3.jpg
Orphan,Orphan sofa,/products/orphan/,Orphan,990,490,http://bykato.com/media/25361/Orphan_overview_1.jpg
C3 Loungechair,C3 Loungechair,/products/c3-loungechair/,Recliner02,322,334,http://bykato.com/media/1755/Recliner02_overview_3.jpg
Lumberjack Shelf,Lumberjack Shelf,/products/lumberjack-shelf/,Lumperjack04,322,334,http://bykato.com/media/6794/Lumperjack04_overview_3.jpg
BookCase,BookCase,/products/bookcase/,Bookcase01,652,334,http://bykato.com/media/10719/Bookcase01_overview_2.jpg
Caché,Caché,/products/caché/,Cache01,990,490,http://bykato.com/media/18217/Cache01_overview_1.jpg
S1 Sideboard,S1 Sideboard,/products/s1-sideboard/,Bykatos1 Sideboard 1,990,490,http://bykato.com/media/26932/byKATOS1_Sideboard_1_overview_1.jpg
Madison Sofa,Madison Sofa,/products/madison-sofa/,Madison01,652,334,http://bykato.com/media/6744/Madison01_overview_2.jpg
Coney Diningtable,Coney Diningtable,/products/coney-diningtable/,Coney01,990,490,http://bykato.com/media/2981/Coney01_overview_1.jpg
Wall Storage,Wall Storage,/products/wall-storage/,Wall01,990,490,http://bykato.com/media/22232/reol__master_overview_1.jpg
